Timestamp,Lane ID,Vehicle Count,Avg Speed,Load (%),Incident,Weather,Signal Status,Priority Flow,Congestion Level
2025-06-03T20:00:00,Location_Intersection_1_Lane_1,70,37.52,46.67,FALSE,Rainy,Green,FALSE,Low
2025-06-03T20:00:00,Location_Intersection_1_Lane_2,78,10,60.73,FALSE,Rainy,Red,FALSE,High
2025-06-03T20:00:00,Location_Intersection_2_Lane_1,70,39.2,46.67,FALSE,Rainy,Yellow,FALSE,Low
2025-06-03T20:00:00,Location_Intersection_2_Lane_2,51,34.38,34,FALSE,Rainy,Green,FALSE,Low
2025-06-03T20:00:00,Location_Intersection_3_Lane_1,67,28.92,44.67,FALSE,Rainy,Green,FALSE,Low
2025-06-03T20:00:00,Location_Intersection_3_Lane_2,64,44.44,42.67,FALSE,Rainy,Green,FALSE,Low
2025-06-03T20:05:00,Location_Intersection_1_Lane_1,90,36.3,60,FALSE,Clear,Green,FALSE,Low
2025-06-03T20:05:00,Location_Intersection_1_Lane_2,79,10,65.13,FALSE,Clear,Red,FALSE,High
2025-06-03T20:05:00,Location_Intersection_2_Lane_1,64,10,49.65,FALSE,Clear,Red,FALSE,High
2025-06-03T20:05:00,Location_Intersection_2_Lane_2,59,42.1,39.33,FALSE,Clear,Yellow,FALSE,Low
2025-06-03T20:05:00,Location_Intersection_3_Lane_1,80,54.63,53.33,FALSE,Clear,Green,FALSE,Low
2025-06-03T20:05:00,Location_Intersection_3_Lane_2,51,45.21,34,FALSE,Clear,Green,FALSE,Low
2025-06-03T20:10:00,Location_Intersection_1_Lane_1,72,50.41,48,FALSE,Clear,Green,FALSE,Low
2025-06-03T20:10:00,Location_Intersection_1_Lane_2,74,45.03,49.33,FALSE,Clear,Green,FALSE,Low
2025-06-03T20:10:00,Location_Intersection_2_Lane_1,62,10,50.28,FALSE,Clear,Red,FALSE,High
2025-06-03T20:10:00,Location_Intersection_2_Lane_2,64,10,41.88,FALSE,Clear,Red,TRUE,High
2025-06-03T20:10:00,Location_Intersection_3_Lane_1,67,37.29,44.67,FALSE,Clear,Green,FALSE,Low
2025-06-03T20:10:00,Location_Intersection_3_Lane_2,77,36.98,51.33,FALSE,Clear,Green,FALSE,Low
2025-06-03T20:15:00,Location_Intersection_1_Lane_1,67,36.41,44.67,FALSE,Clear,Green,FALSE,Low
2025-06-03T20:15:00,Location_Intersection_1_Lane_2,80,10,69.92,FALSE,Clear,Red,FALSE,High
2025-06-03T20:15:00,Location_Intersection_2_Lane_1,54,44.44,36,FALSE,Clear,Green,FALSE,Low
2025-06-03T20:15:00,Location_Intersection_2_Lane_2,70,53.49,46.67,FALSE,Clear,Green,FALSE,Low
2025-06-03T20:15:00,Location_Intersection_3_Lane_1,75,48.5,50,FALSE,Clear,Green,FALSE,Low
2025-06-03T20:15:00,Location_Intersection_3_Lane_2,83,48.87,55.33,FALSE,Clear,Green,FALSE,Low
2025-06-03T20:20:00,Location_Intersection_1_Lane_1,85,10,64.21,FALSE,Clear,Red,FALSE,High
2025-06-03T20:20:00,Location_Intersection_1_Lane_2,84,43.18,56,FALSE,Clear,Green,FALSE,Low
2025-06-03T20:20:00,Location_Intersection_2_Lane_1,63,45.72,42,FALSE,Clear,Green,FALSE,Low
2025-06-03T20:20:00,Location_Intersection_2_Lane_2,67,43.53,44.67,FALSE,Clear,Green,FALSE,Low
2025-06-03T20:20:00,Location_Intersection_3_Lane_1,66,40.42,44,FALSE,Clear,Green,FALSE,Low
2025-06-03T20:20:00,Location_Intersection_3_Lane_2,79,40.92,52.67,FALSE,Clear,Green,FALSE,Low
2025-06-03T20:25:00,Location_Intersection_1_Lane_1,52,38.66,34.67,FALSE,Rainy,Green,FALSE,Low
2025-06-03T20:25:00,Location_Intersection_1_Lane_2,67,39.02,44.67,FALSE,Rainy,Yellow,FALSE,Low
2025-06-03T20:25:00,Location_Intersection_2_Lane_1,74,36.26,49.33,FALSE,Rainy,Green,FALSE,Low
2025-06-03T20:25:00,Location_Intersection_2_Lane_2,64,36.23,42.67,FALSE,Rainy,Yellow,FALSE,Low
2025-06-03T20:25:00,Location_Intersection_3_Lane_1,77,36.83,51.33,FALSE,Rainy,Green,FALSE,Low
2025-06-03T20:25:00,Location_Intersection_3_Lane_2,80,35.08,53.33,FALSE,Rainy,Green,FALSE,Low
2025-06-03T20:30:00,Location_Intersection_1_Lane_1,90,51.02,60,FALSE,Clear,Green,FALSE,Low
2025-06-03T20:30:00,Location_Intersection_1_Lane_2,79,51.57,41.04,FALSE,Clear,Green,TRUE,Low
2025-06-03T20:30:00,Location_Intersection_2_Lane_1,74,10,68.24,FALSE,Clear,Red,FALSE,High
2025-06-03T20:30:00,Location_Intersection_2_Lane_2,63,10,49.49,FALSE,Clear,Red,FALSE,High
2025-06-03T20:30:00,Location_Intersection_3_Lane_1,65,44.34,43.33,FALSE,Clear,Green,FALSE,Low
2025-06-03T20:30:00,Location_Intersection_3_Lane_2,56,45.17,37.33,FALSE,Clear,Yellow,FALSE,Low
2025-06-03T20:35:00,Location_Intersection_1_Lane_1,50,39.31,33.33,FALSE,Rainy,Green,FALSE,Low
2025-06-03T20:35:00,Location_Intersection_1_Lane_2,58,33.83,38.67,FALSE,Rainy,Green,FALSE,Low
2025-06-03T20:35:00,Location_Intersection_2_Lane_1,92,10,77.49,FALSE,Rainy,Red,FALSE,High
2025-06-03T20:35:00,Location_Intersection_2_Lane_2,69,10,64.93,FALSE,Rainy,Red,FALSE,High
2025-06-03T20:35:00,Location_Intersection_3_Lane_1,48,10,46.5,FALSE,Rainy,Red,FALSE,High
2025-06-03T20:35:00,Location_Intersection_3_Lane_2,78,34.73,52,FALSE,Rainy,Green,FALSE,Low
2025-06-03T20:40:00,Location_Intersection_1_Lane_1,98,41.74,65.33,FALSE,Clear,Yellow,FALSE,Low
2025-06-03T20:40:00,Location_Intersection_1_Lane_2,101,5.43,94.92,TRUE,Clear,Red,FALSE,High
2025-06-03T20:40:00,Location_Intersection_2_Lane_1,81,41.26,54,FALSE,Clear,Green,FALSE,Low
2025-06-03T20:40:00,Location_Intersection_2_Lane_2,78,10,62.41,FALSE,Clear,Red,FALSE,High
2025-06-03T20:40:00,Location_Intersection_3_Lane_1,73,10,59.7,FALSE,Clear,Red,FALSE,High
2025-06-03T20:40:00,Location_Intersection_3_Lane_2,76,48.49,50.67,FALSE,Clear,Green,FALSE,Low
2025-06-03T20:45:00,Location_Intersection_1_Lane_1,74,55.07,36.61,FALSE,Clear,Green,TRUE,Low
2025-06-03T20:45:00,Location_Intersection_1_Lane_2,67,42.82,44.67,FALSE,Clear,Green,FALSE,Low
2025-06-03T20:45:00,Location_Intersection_2_Lane_1,94,54.92,62.67,FALSE,Clear,Green,FALSE,Low
2025-06-03T20:45:00,Location_Intersection_2_Lane_2,95,44.39,63.33,FALSE,Clear,Green,FALSE,Low
2025-06-03T20:45:00,Location_Intersection_3_Lane_1,64,38.21,42.67,FALSE,Clear,Green,FALSE,Low
2025-06-03T20:45:00,Location_Intersection_3_Lane_2,68,10,57.04,FALSE,Clear,Red,FALSE,High
2025-06-03T20:50:00,Location_Intersection_1_Lane_1,70,41.4,46.67,FALSE,Clear,Green,FALSE,Low
2025-06-03T20:50:00,Location_Intersection_1_Lane_2,77,46.65,51.33,FALSE,Clear,Green,FALSE,Low
2025-06-03T20:50:00,Location_Intersection_2_Lane_1,71,41.56,47.33,FALSE,Clear,Yellow,FALSE,Low
2025-06-03T20:50:00,Location_Intersection_2_Lane_2,78,52.38,52,FALSE,Clear,Yellow,FALSE,Low
2025-06-03T20:50:00,Location_Intersection_3_Lane_1,93,10,81.57,FALSE,Clear,Red,FALSE,High
2025-06-03T20:50:00,Location_Intersection_3_Lane_2,53,34.42,35.33,FALSE,Clear,Green,FALSE,Low
2025-06-03T20:55:00,Location_Intersection_1_Lane_1,90,43.92,60,FALSE,Cloudy,Green,FALSE,Low
2025-06-03T20:55:00,Location_Intersection_1_Lane_2,72,43.31,48,FALSE,Cloudy,Yellow,FALSE,Low
2025-06-03T20:55:00,Location_Intersection_2_Lane_1,75,55.26,50,FALSE,Cloudy,Green,FALSE,Low
2025-06-03T20:55:00,Location_Intersection_2_Lane_2,86,51.47,57.33,FALSE,Cloudy,Green,FALSE,Low
2025-06-03T20:55:00,Location_Intersection_3_Lane_1,90,12.28,81.6,TRUE,Cloudy,Green,FALSE,High
2025-06-03T20:55:00,Location_Intersection_3_Lane_2,73,10,65.33,FALSE,Cloudy,Red,FALSE,High
2025-06-03T21:00:00,Location_Intersection_1_Lane_1,82,10,63.18,FALSE,Clear,Red,FALSE,High
2025-06-03T21:00:00,Location_Intersection_1_Lane_2,58,48.25,38.67,FALSE,Clear,Green,FALSE,Low
2025-06-03T21:00:00,Location_Intersection_2_Lane_1,82,50.42,54.67,FALSE,Clear,Green,FALSE,Low
2025-06-03T21:00:00,Location_Intersection_2_Lane_2,78,44.19,52,FALSE,Clear,Green,FALSE,Low
2025-06-03T21:00:00,Location_Intersection_3_Lane_1,80,10,71.05,FALSE,Clear,Red,FALSE,High
2025-06-03T21:00:00,Location_Intersection_3_Lane_2,78,47.06,52,FALSE,Clear,Green,FALSE,Low
2025-06-03T21:05:00,Location_Intersection_1_Lane_1,63,51.26,42,FALSE,Clear,Green,FALSE,Low
2025-06-03T21:05:00,Location_Intersection_1_Lane_2,91,10,75.98,FALSE,Clear,Red,FALSE,High
2025-06-03T21:05:00,Location_Intersection_2_Lane_1,73,37.73,48.67,FALSE,Clear,Green,FALSE,Low
